parameter,2026-04-09 18:16:04 +0200,2026-04-09 22:34:32 +0200,2026-04-10 10:35:52 +0200,2026-04-10 17:23:06 +0200,2026-04-12 21:10:47 +0200,2026-04-13 18:31:02 +0200,2026-04-14 10:34:03 +0200,2026-04-17 15:06:07 +0200,2026-04-26 18:36:32 +0200,2026-04-27 19:23:04 +0200,2026-04-28 21:39:05,2026-05-01 17:43:24
run_trading.cli.--test-months,1,1,1,1,1,1,1,1,1,1,1,1
run_trading.cli.--timesteps,100000,100000,100000,300000,300000,300000,300000,2000000,500000,750000,500000,500000
run_trading.cli.--n-steps,,,,,,,,,,,2048,8192
run_trading.cli.--trade-penalty,,,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.45
run_trading.cli.--train-months,6,6,12,12,12,12,12,12,12,12,12,12
run_trading.cli.--whipsaw-penalty,,,,,1.25,1.25,1.25,1.5,1.25,1.25,1.25,1.25
run_trading.cli.--whipsaw-window,,,,,30,30,30,30,30,30,30,30
wfo.run_wfo.chain_balance,,,,,False,False,False,False,False,False,False,False
wfo.run_wfo.device,'auto','auto','auto','auto','auto','auto','auto','cuda','cuda','cuda','cuda','cuda'
wfo.run_wfo.drawdown_penalty,,,,,,2.0,0.5,1.0,0.5,0.5,0.5,1.0
wfo.run_wfo.turnover_penalty,,,,,,,,,,,0.25,0.25
wfo.run_wfo.ent_coef,,,,,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.02
wfo.run_wfo.ent_coef_final,,,,,,,,,,,0.005,0.01
wfo.run_wfo.final_lr,,,,,,,,,,,,0.0001
wfo.run_wfo.initial_balance,100000.0,100000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
wfo.run_wfo.initial_lr,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001
wfo.run_wfo.n_steps,2048,2048,2048,2048,4096,4096,4096,8192,4096,4096,2048,8192
wfo.run_wfo.lot_size,,100000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
wfo.run_wfo.lstm_hidden_size,128,128,128,128,128,128,128,256,128,128,64,64
wfo.run_wfo.max_folds,,None,None,None,None,None,None,24,24,24,24,24
